W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,event
win,Anthony Smith  Alexander Gustafsson,0  0,49  72,0  1,1  0,Light Heavyweight,SUB  Rear Naked Choke,4,2:38,UFC Fight Night: Gustafsson vs. Smith
win,Aleksandar Rakic  Jimi Manuwa,1  0,2  2,0  0,0  0,Light Heavyweight,KO/TKO  Kick,1,0:47,UFC Fight Night: Gustafsson vs. Smith
win,Makwan Amirkhani  Chris Fishgold,0  0,9  16,1  0,1  0,Featherweight,SUB  Anaconda Choke,2,4:25,UFC Fight Night: Gustafsson vs. Smith
win,Christos Giagos  Damir Hadzovic,0  0,47  24,6  1,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Gustafsson vs. Smith
win,Daniel Teymur  Sung Bin Jo,0  0,40  21,1  1,0  1,Featherweight,U-DEC,3,5:00,UFC Fight Night: Gustafsson vs. Smith
win,Sergey Khandozhko  Rostem Akman,1  0,60  39,1  2,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Gustafsson vs. Smith
win,Lina Lansberg  Tonya Evinger,0  0,50  6,1  1,0  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Gustafsson vs. Smith
win,Leonardo Santos  Stevie Ray,1  0,12  2,0  0,0  0,Lightweight,KO/TKO  Punch,1,2:17,UFC Fight Night: Gustafsson vs. Smith
win,Frank Camacho  Nick Hein,0  0,100  37,0  1,0  0,Lightweight,KO/TKO  Punches,2,4:56,UFC Fight Night: Gustafsson vs. Smith
win,Bea Malecki  Duda Santana,0  0,19  42,0  3,2  0,Women's Bantamweight,SUB  Rear Naked Choke,2,1:59,UFC Fight Night: Gustafsson vs. Smith
win,Devin Clark  Darko Stosic,0  0,40  26,2  1,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Gustafsson vs. Smith
win,Joel Alvarez  Danilo Belluardo,0  0,19  13,0  2,0  0,Lightweight,KO/TKO  Punches,2,2:22,UFC Fight Night: Gustafsson vs. Smith
win,Rafael Dos Anjos  Kevin Lee,0  0,60  35,4  6,1  0,Welterweight,SUB  Arm Triangle,4,3:47,UFC Fight Night: Dos Anjos vs. Lee
win,Ian Heinisch  Antonio Carlos Junior,0  0,39  15,1  4,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Dos Anjos vs. Lee
win,Felicia Spencer  Megan Anderson,0  0,22  3,1  0,1  0,Women's Featherweight,SUB  Rear Naked Choke,1,3:24,UFC Fight Night: Dos Anjos vs. Lee
win,Vicente Luque  Derrick Krantz,1  0,18  6,0  1,0  0,Welterweight,KO/TKO  Punch,1,3:52,UFC Fight Night: Dos Anjos vs. Lee
win,Charles Oliveira  Nik Lentz,1  0,38  18,0  2,1  0,Lightweight,KO/TKO  Punch,2,2:11,UFC Fight Night: Dos Anjos vs. Lee
win,Davi Ramos  Austin Hubbard,0  0,63  44,3  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Dos Anjos vs. Lee
win,Aspen Ladd  Sijara Eubanks,0  0,69  77,3  2,3  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Dos Anjos vs. Lee
win,Desmond Green  Charles Jourdain,0  0,78  55,4  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Dos Anjos vs. Lee
win,Michel Pereira  Danny Roberts,1  0,6  2,0  0,0  0,Welterweight,KO/TKO  Flying Knee,1,1:47,UFC Fight Night: Dos Anjos vs. Lee
win,Grant Dawson  Michael Trizano,0  0,27  20,3  0,1  0,Featherweight,SUB  Rear Naked Choke,2,2:27,UFC Fight Night: Dos Anjos vs. Lee
win,Ed Herman  Patrick Cummins,1  0,11  22,0  1,0  0,Light Heavyweight,KO/TKO  Knee,1,3:39,UFC Fight Night: Dos Anjos vs. Lee
win,Zak Cummings  Trevin Giles,1  0,34  31,0  0,1  0,Middleweight,SUB  Guillotine Choke,3,4:01,UFC Fight Night: Dos Anjos vs. Lee
win,Julio Arce  Julian Erosa,1  0,74  43,1  0,0  0,Featherweight,KO/TKO  Kick,3,1:49,UFC Fight Night: Dos Anjos vs. Lee
win,Jessica Andrade  Rose Namajunas,0  1,47  55,2  0,0  1,Women's Strawweight,KO/TKO  Slam,2,2:58,UFC 237: Namajunas vs. Andrade
win,Jared Cannonier  Anderson Silva,1  0,17  8,0  0,0  0,Middleweight,KO/TKO  Kick,1,4:47,UFC 237: Namajunas vs. Andrade
win,Alexander Volkanovski  Jose Aldo,0  0,95  29,0  0,0  0,Featherweight,U-DEC,3,5:00,UFC 237: Namajunas vs. Andrade
win,Laureano Staropoli  Thiago Alves,0  0,54  58,1  1,0  0,Welterweight,U-DEC,3,5:00,UFC 237: Namajunas vs. Andrade
win,Irene Aldana  Bethe Correia,0  0,83  81,0  0,1  0,Women's Bantamweight,SUB  Armbar,3,3:24,UFC 237: Namajunas vs. Andrade
win,Ryan Spann  Rogerio Nogueira,1  0,13  6,1  0,1  0,Light Heavyweight,KO/TKO  Punch,1,2:07,UFC 237: Namajunas vs. Andrade
win,Thiago Moises  Kurt Holobaugh,0  0,66  39,4  2,1  0,Lightweight,U-DEC,3,5:00,UFC 237: Namajunas vs. Andrade
win,Warlley Alves  Sergio Moraes,1  0,72  20,0  0,0  0,Welterweight,KO/TKO  Punch,3,4:13,UFC 237: Namajunas vs. Andrade
win,Clay Guida  BJ Penn,0  0,80  64,1  0,0  0,Lightweight,U-DEC,3,5:00,UFC 237: Namajunas vs. Andrade
win,Luana Carolina  Priscila Cachoeira,1  0,111  69,0  0,3  0,Women's Flyweight,U-DEC,3,5:00,UFC 237: Namajunas vs. Andrade
win,Raoni Barcelos  Carlos Huachin,1  0,59  20,0  0,1  0,Bantamweight,KO/TKO  Elbows,2,4:49,UFC 237: Namajunas vs. Andrade
win,Viviane Araujo  Talita Bernardo,1  0,61  46,3  0,0  0,Women's Bantamweight,KO/TKO  Punch,3,0:48,UFC 237: Namajunas vs. Andrade
win,Donald Cerrone  Al Iaquinta,2  0,138  90,0  0,0  0,Lightweight,U-DEC,5,5:00,UFC Fight Night: Iaquinta vs. Cowboy
win,Derek Brunson  Elias Theodorou,0  0,56  65,4  0,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Iaquinta vs. Cowboy
win,Shane Burgos  Cub Swanson,0  0,134  129,0  0,0  0,Featherweight,S-DEC,3,5:00,UFC Fight Night: Iaquinta vs. Cowboy
win,Merab Dvalishvili  Brad Katona,0  0,55  32,5  0,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Iaquinta vs. Cowboy
win,Walt Harris  Serghei Spivac,1  0,17  1,0  0,0  0,Heavyweight,KO/TKO  Knees,1,0:50,UFC Fight Night: Iaquinta vs. Cowboy
win,Andrew Sanchez  Marc-Andre Barriault,0  0,72  69,2  0,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Iaquinta vs. Cowboy
win,Macy Chiasson  Sarah Moras,0  0,43  9,0  1,0  1,Women's Bantamweight,KO/TKO  Punches,2,2:22,UFC Fight Night: Iaquinta vs. Cowboy
win,Vince Morales  Aiemann Zahabi,0  0,59  28,0  1,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Iaquinta vs. Cowboy
win,Nordine Taleb  Kyle Prepolec,0  0,90  52,0  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Iaquinta vs. Cowboy
win,Matt Sayles  Kyle Nelson,0  0,75  26,0  2,1  4,Featherweight,SUB  Arm Triangle,3,3:16,UFC Fight Night: Iaquinta vs. Cowboy
win,Arjan Bhullar  Juan Adams,0  0,41  81,2  0,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Iaquinta vs. Cowboy
win,Cole Smith  Mitch Gagnon,0  1,38  15,2  0,2  2,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Iaquinta vs. Cowboy
win,Jack Hermansson  Jacare Souza,0  0,148  90,3  0,1  0,Middleweight,U-DEC,5,5:00,UFC Fight Night: Jacare vs. Hermansson
win,Greg Hardy  Dmitrii Smoliakov,0  0,14  1,0  0,0  0,Heavyweight,KO/TKO  Punches,1,2:15,UFC Fight Night: Jacare vs. Hermansson
win,Mike Perry  Alex Oliveira,0  0,65  48,0  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Jacare vs. Hermansson
win,Glover Teixeira  Ion Cutelaba,0  0,30  74,0  0,1  0,Light Heavyweight,SUB  Rear Naked Choke,2,3:37,UFC Fight Night: Jacare vs. Hermansson
win,Cory Sandhagen  John Lineker,0  0,120  106,2  1,0  1,Bantamweight,S-DEC,3,5:00,UFC Fight Night: Jacare vs. Hermansson
win,Roosevelt Roberts  Thomas Gifford,0  0,53  30,2  1,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Jacare vs. Hermansson
win,Takashi Sato  Ben Saunders,1  0,28  46,0  0,0  0,Welterweight,KO/TKO  Elbows,2,1:18,UFC Fight Night: Jacare vs. Hermansson
win,Augusto Sakai  Andrei Arlovski,0  0,42  75,0  0,0  0,Heavyweight,S-DEC,3,5:00,UFC Fight Night: Jacare vs. Hermansson
win,Carla Esparza  Virna Jandiroba,0  0,25  17,4  3,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Jacare vs. Hermansson
win,Gilbert Burns  Mike Davis,0  0,49  13,3  0,1  0,Lightweight,SUB  Rear Naked Choke,2,4:15,UFC Fight Night: Jacare vs. Hermansson
win,Jim Miller  Jason Gonzalez,0  0,6  10,2  0,1  0,Lightweight,SUB  Rear Naked Choke,1,2:12,UFC Fight Night: Jacare vs. Hermansson
win,Angela Hill  Jodie Esquibel,0  0,117  57,0  0,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Jacare vs. Hermansson
win,Dhiego Lima  Court McGee,0  1,65  65,0  0,0  0,Welterweight,S-DEC,3,5:00,UFC Fight Night: Jacare vs. Hermansson
win,Alistair Overeem  Aleksei Oleinik,1  0,29  38,0  0,0  0,Heavyweight,KO/TKO  Knee,1,4:45,UFC Fight Night: Overeem vs. Oleinik
win,Islam Makhachev  Arman Tsarukyan,0  0,14  13,4  1,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Overeem vs. Oleinik
win,Sergei Pavlovich  Marcelo Golm,1  0,17  5,0  0,0  0,Heavyweight,KO/TKO  Punches,1,1:06,UFC Fight Night: Overeem vs. Oleinik
win,Roxanne Modafferi  Antonina Shevchenko,0  0,33  64,5  0,0  0,Women's Flyweight,S-DEC,3,5:00,UFC Fight Night: Overeem vs. Oleinik
win,Krzysztof Jotko  Alen Amedovski,0  0,43  6,4  0,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Overeem vs. Oleinik
win,Movsar Evloev  SeungWoo Choi,0  0,50  26,5  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Overeem vs. Oleinik
win,Sultan Aliev  Keita Nakamura,0  0,25  29,2  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Overeem vs. Oleinik
win,Alexander Yakovlev  Alex Da Silva,0  0,14  8,1  1,1  0,Lightweight,SUB  Schultz Front Headlock,2,3:10,UFC Fight Night: Overeem vs. Oleinik
win,Shamil Abdurakhimov  Marcin Tybura,1  0,36  28,0  0,0  0,Heavyweight,KO/TKO  Punches,2,3:15,UFC Fight Night: Overeem vs. Oleinik
win,Michal Oleksiejczuk  Gadzhimurad Antigulov,3  0,8  6,0  0,0  0,Light Heavyweight,KO/TKO  Punch,1,0:44,UFC Fight Night: Overeem vs. Oleinik
win,Magomed Mustafaev  Rafael Fiziev,1  0,10  1,0  0,0  0,Lightweight,KO/TKO  Spinning Back Kick,1,1:26,UFC Fight Night: Overeem vs. Oleinik
win,Dustin Poirier  Max Holloway,0  0,178  181,1  0,0  1,Lightweight,U-DEC,5,5:00,UFC 236: Holloway vs. Poirier 2
win,Israel Adesanya  Kelvin Gastelum,4  0,109  91,0  1,2  0,Middleweight,U-DEC,5,5:00,UFC 236: Holloway vs. Poirier 2
win,Khalil Rountree Jr.  Eryk Anders,4  0,79  16,0  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC 236: Holloway vs. Poirier 2
win,Dwight Grant  Alan Jouban,0  0,38  24,0  1,0  0,Welterweight,S-DEC,3,5:00,UFC 236: Holloway vs. Poirier 2
win,Nikita Krylov  Ovince Saint Preux,0  0,27  4,1  3,2  0,Light Heavyweight,SUB  Rear Naked Choke,2,2:30,UFC 236: Holloway vs. Poirier 2
win,Matt Frevola  Jalin Turner,0  0,31  35,4  0,2  1,Lightweight,U-DEC,3,5:00,UFC 236: Holloway vs. Poirier 2
win,Alexandre Pantoja  Wilson Reis,1  0,23  1,0  1,0  0,Flyweight,KO/TKO  Punch,1,2:58,UFC 236: Holloway vs. Poirier 2
win,Max Griffin  Zelim Imadaev,0  0,47  64,6  0,3  0,Welterweight,M-DEC,3,5:00,UFC 236: Holloway vs. Poirier 2
win,Khalid Taha  Boston Salmon,1  0,5  0,0  0,0  0,Bantamweight,KO/TKO  Punch,1,0:25,UFC 236: Holloway vs. Poirier 2
win,Belal Muhammad  Curtis Millender,0  0,47  48,2  0,0  0,Welterweight,U-DEC,3,5:00,UFC 236: Holloway vs. Poirier 2
win,Montel Jackson  Andre Soukhamthath,0  0,64  30,3  1,0  0,Bantamweight,U-DEC,3,5:00,UFC 236: Holloway vs. Poirier 2
win,Poliana Botelho  Lauren Mueller,0  0,47  47,2  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC 236: Holloway vs. Poirier 2
win,Brandon Davis  Randy Costa,0  0,35  46,0  0,1  0,Bantamweight,SUB  Rear Naked Choke,2,1:12,UFC 236: Holloway vs. Poirier 2
win,Justin Gaethje  Edson Barboza,1  0,20  13,0  0,0  0,Lightweight,KO/TKO  Punch,1,2:30,UFC Fight Night: Barboza vs. Gaethje
win,Jack Hermansson  David Branch,0  0,3  1,1  0,1  0,Middleweight,SUB  Guillotine Choke,1,0:49,UFC Fight Night: Barboza vs. Gaethje
win,Josh Emmett  Michael Johnson,1  0,22  24,0  0,0  0,Featherweight,KO/TKO  Punch,3,4:14,UFC Fight Night: Barboza vs. Gaethje
win,Michelle Waterson-Gomez  Karolina Kowalkiewicz,0  0,64  57,2  0,1  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Barboza vs. Gaethje
win,Paul Craig  Kennedy Nzechukwu,0  0,25  40,1  0,2  0,Light Heavyweight,SUB  Triangle Choke,3,4:20,UFC Fight Night: Barboza vs. Gaethje
win,Sodiq Yusuff  Sheymon Moraes,1  0,73  54,0  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Barboza vs. Gaethje
win,Marina Rodriguez  Jessica Aguilar,1  0,118  50,0  0,0  1,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Barboza vs. Gaethje
win,Desmond Green  Ross Pearson,1  0,25  12,1  0,0  0,Lightweight,KO/TKO  Punches,1,2:52,UFC Fight Night: Barboza vs. Gaethje
win,Kevin Aguilar  Enrique Barzola,0  0,58  52,0  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Barboza vs. Gaethje
win,Kevin Holland  Gerald Meerschaert,0  0,27  10,1  6,2  4,Middleweight,S-DEC,3,5:00,UFC Fight Night: Barboza vs. Gaethje
win,Casey Kenney  Ray Borg,0  0,32  17,2  7,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Barboza vs. Gaethje
win,Maryna Moroz  Sabina Mazo,0  0,56  64,1  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Barboza vs. Gaethje
win,Alex Perez  Mark De La Rosa,0  0,60  26,2  0,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Barboza vs. Gaethje
win,Anthony Pettis  Stephen Thompson,1  0,32  47,0  0,0  0,Welterweight,KO/TKO  Punch,2,4:55,UFC Fight Night: Thompson vs. Pettis
win,Curtis Blaydes  Justin Willis,0  0,22  2,7  0,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Pettis
win,John Makdessi  Jesus Pinedo,0  0,73  37,0  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Pettis
win,Jussier Formiga  Deiveson Figueiredo,0  0,26  14,3  0,0  0,Flyweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Pettis
win,Luis Pena  Steven Peterson,0  0,52  34,1  4,0  1,Featherweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Pettis
win,Maycee Barber  JJ Aldrich,0  0,55  25,0  0,0  0,Women's Flyweight,KO/TKO  Punches,2,3:01,UFC Fight Night: Thompson vs. Pettis
win,Bryce Mitchell  Bobby Moffett,0  0,17  9,0  5,2  2,Featherweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Pettis
win,Marlon Vera  Frankie Saenz,1  0,12  4,0  0,0  0,Bantamweight,KO/TKO  Punch,1,1:25,UFC Fight Night: Thompson vs. Pettis
win,Jennifer Maia  Alexis Davis,0  0,60  72,0  1,0  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Pettis
win,Randa Markos  Angela Hill,0  0,13  2,1  0,1  0,Women's Strawweight,SUB  Armbar,1,4:24,UFC Fight Night: Thompson vs. Pettis
win,Chris Gutierrez  Ryan MacDonald,0  0,69  15,0  0,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Pettis
win,Jordan Espinosa  Eric Shelton,0  0,47  25,1  0,0  0,Flyweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Pettis
win,Jorge Masvidal  Darren Till,1  1,35  21,1  1,0  0,Welterweight,KO/TKO  Punch,2,3:05,UFC Fight Night: Till vs. Masvidal
win,Leon Edwards  Gunnar Nelson,1  0,31  9,2  3,0  0,Welterweight,S-DEC,3,5:00,UFC Fight Night: Till vs. Masvidal
win,Dominick Reyes  Volkan Oezdemir,0  0,44  35,0  1,0  0,Light Heavyweight,S-DEC,3,5:00,UFC Fight Night: Till vs. Masvidal
win,Nathaniel Wood  Jose Quinonez,0  0,30  34,2  1,2  0,Bantamweight,SUB  Rear Naked Choke,2,2:46,UFC Fight Night: Till vs. Masvidal
win,Claudio Silva  Danny Roberts,0  0,19  26,3  0,4  0,Welterweight,SUB  Armbar,3,2:37,UFC Fight Night: Till vs. Masvidal
win,Jack Marshman  John Phillips,0  1,31  32,0  0,0  0,Middleweight,S-DEC,3,5:00,UFC Fight Night: Till vs. Masvidal
win,Arnold Allen  Jordan Rinaldi,1  0,37  30,0  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Till vs. Masvidal
win,Marc Diakiese  Joe Duffy,1  0,63  15,3  1,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Till vs. Masvidal
win,Saparbeg Safarov  Nicolae Negumereanu,0  0,70  11,3  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Till vs. Masvidal
win,Dan Ige  Danny Henry,1  0,10  4,1  0,1  0,Featherweight,SUB  Rear Naked Choke,1,1:17,UFC Fight Night: Till vs. Masvidal
win,Molly McCann  Priscila Cachoeira,0  0,107  75,2  0,2  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Till vs. Masvidal
win,Mike Grundy  Nad Narimani,1  0,33  22,1  0,0  0,Featherweight,KO/TKO  Punches,2,4:42,UFC Fight Night: Till vs. Masvidal
win,Junior Dos Santos  Derrick Lewis,1  0,29  7,0  0,0  0,Heavyweight,KO/TKO  Punches,2,1:58,UFC Fight Night: Lewis vs. Dos Santos
win,Elizeu Zaleski dos Santos  Curtis Millender,0  0,6  0,1  0,1  0,Welterweight,SUB  Rear Naked Choke,1,2:35,UFC Fight Night: Lewis vs. Dos Santos
win,Niko Price  Tim Means,1  0,32  31,0  1,0  0,Welterweight,KO/TKO  Punch,1,4:50,UFC Fight Night: Lewis vs. Dos Santos
win,Blagoy Ivanov  Ben Rothwell,0  0,72  70,0  0,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Lewis vs. Dos Santos
win,Beneil Dariush  Drew Dober,0  0,37  31,2  0,1  0,Lightweight,SUB  Armbar,2,4:41,UFC Fight Night: Lewis vs. Dos Santos
win,Omari Akhmedov  Tim Boetsch,0  0,52  41,0  0,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Lewis vs. Dos Santos
win,Anthony Rocco Martin  Sergio Moraes,0  0,50  19,0  3,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Lewis vs. Dos Santos
win,Yana Santos  Marion Reneau,0  0,98  58,1  1,0  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Lewis vs. Dos Santos
win,Grant Dawson  Julian Erosa,0  0,57  49,6  0,1  1,Featherweight,U-DEC,3,5:00,UFC Fight Night: Lewis vs. Dos Santos
win,Maurice Greene  Jeff Hughes,0  0,70  66,0  0,0  0,Heavyweight,S-DEC,3,5:00,UFC Fight Night: Lewis vs. Dos Santos
win,Matt Schnell  Louis Smolka,0  0,14  13,1  0,2  0,Bantamweight,SUB  Triangle Choke,1,3:18,UFC Fight Night: Lewis vs. Dos Santos
win,Alex Morono  Zak Ottow,0  0,25  10,0  1,1  0,Welterweight,KO/TKO  Elbows,1,3:34,UFC Fight Night: Lewis vs. Dos Santos
win,Alex White  Dan Moret,0  0,49  42,2  1,3  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Lewis vs. Dos Santos
win,Jon Jones  Anthony Smith,0  0,125  36,3  0,0  0,Light Heavyweight,U-DEC,5,5:00,UFC 235: Jones vs. Smith
win,Kamaru Usman  Tyron Woodley,0  0,141  34,2  0,0  0,Welterweight,U-DEC,5,5:00,UFC 235: Jones vs. Smith
win,Ben Askren  Robbie Lawler,0  0,0  26,1  1,1  0,Welterweight,SUB  Bulldog Choke,1,3:20,UFC 235: Jones vs. Smith
win,Zhang Weili  Tecia Torres,0  0,63  30,2  0,0  0,Women's Strawweight,U-DEC,3,5:00,UFC 235: Jones vs. Smith
win,Pedro Munhoz  Cody Garbrandt,1  0,25  21,0  0,0  0,Bantamweight,KO/TKO  Punch,1,4:52,UFC 235: Jones vs. Smith
win,Zabit Magomedsharipov  Jeremy Stephens,0  0,70  41,3  0,0  0,Featherweight,U-DEC,3,5:00,UFC 235: Jones vs. Smith
win,Johnny Walker  Misha Cirkunov,1  0,4  1,0  0,0  0,Light Heavyweight,KO/TKO  Flying Knee,1,0:36,UFC 235: Jones vs. Smith
win,Cody Stamann  Alejandro Perez,0  0,48  41,0  1,0  0,Bantamweight,U-DEC,3,5:00,UFC 235: Jones vs. Smith
win,Diego Sanchez  Mickey Gall,0  0,56  23,4  0,0  0,Welterweight,KO/TKO  Punches,2,4:13,UFC 235: Jones vs. Smith
win,Edmen Shahbazyan  Charles Byrd,1  0,13  1,0  0,0  0,Middleweight,KO/TKO  Elbows,1,0:38,UFC 235: Jones vs. Smith
win,Macy Chiasson  Gina Mazany,1  0,25  14,0  0,0  0,Women's Bantamweight,KO/TKO  Punch,1,1:49,UFC 235: Jones vs. Smith
win,Hannah Cifers  Polyana Viana,1  0,67  77,0  0,0  0,Women's Strawweight,S-DEC,3,5:00,UFC 235: Jones vs. Smith
win,Thiago Santos  Jan Blachowicz,1  0,52  20,1  0,0  0,Light Heavyweight,KO/TKO  Punch,3,0:39,UFC Fight Night: Blachowicz vs. Santos
win,Stefan Struve  Marcos Rogerio de Lima,0  1,0  25,1  0,1  0,Heavyweight,SUB  Arm Triangle,2,2:21,UFC Fight Night: Blachowicz vs. Santos
win,Michal Oleksiejczuk  Gian Villante,1  0,14  9,0  0,0  0,Light Heavyweight,KO/TKO  Punch,1,1:34,UFC Fight Night: Blachowicz vs. Santos
win,Liz Carmouche  Lucie Pudilova,0  0,14  33,3  0,2  2,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Blachowicz vs. Santos
win,Petr Yan  John Dodson,0  1,80  30,2  2,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Blachowicz vs. Santos
win,Magomed Ankalaev  Klidson Abreu,1  0,30  23,1  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Blachowicz vs. Santos
win,Dwight Grant  Carlo Pedersoli Jr.,1  0,20  17,0  1,0  0,Welterweight,KO/TKO  Punch,1,4:59,UFC Fight Night: Blachowicz vs. Santos
win,Chris Fishgold  Daniel Teymur,0  0,14  17,5  1,2  0,Featherweight,SUB  Rear Naked Choke,2,1:10,UFC Fight Night: Blachowicz vs. Santos
win,Gillian Robertson  Veronica Hardy,0  0,5  23,2  1,1  0,Women's Flyweight,SUB  Rear Naked Choke,2,3:27,UFC Fight Night: Blachowicz vs. Santos
win,Damir Hadzovic  Marco Polo Reyes,0  0,58  24,2  0,0  0,Lightweight,KO/TKO  Punches,2,2:03,UFC Fight Night: Blachowicz vs. Santos
win,Ismail Naurdiev  Michel Prazeres,0  0,63  15,0  3,1  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Blachowicz vs. Santos
win,Diego Ferreira  Rustam Khabilov,0  0,83  43,0  3,1  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Blachowicz vs. Santos
win,Damir Ismagulov  Joel Alvarez,0  0,64  38,0  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Blachowicz vs. Santos
win,Francis Ngannou  Cain Velasquez,0  0,6  1,0  0,0  0,Heavyweight,KO/TKO  Punches,1,0:26,UFC Fight Night: Ngannou vs. Velasquez
win,Paul Felder  James Vick,0  0,55  61,0  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Ngannou vs. Velasquez
win,Cynthia Calvillo  Cortney Casey,0  0,82  73,0  0,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Ngannou vs. Velasquez
win,Kron Gracie  Alex Caceres,0  0,2  4,1  0,1  0,Featherweight,SUB  Rear Naked Choke,1,2:06,UFC Fight Night: Ngannou vs. Velasquez
win,Vicente Luque  Bryan Barberena,1  1,163  169,0  0,2  0,Welterweight,KO/TKO  Knee,3,4:54,UFC Fight Night: Ngannou vs. Velasquez
win,Andre Fili  Myles Jury,0  1,98  76,0  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Ngannou vs. Velasquez
win,Aljamain Sterling  Jimmie Rivera,0  0,101  24,0  0,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Ngannou vs. Velasquez
win,Manny Bermudez  Benito Lopez,0  0,7  7,1  0,1  0,Bantamweight,SUB  Guillotine Choke,1,3:09,UFC Fight Night: Ngannou vs. Velasquez
win,Andrea Lee  Ashlee Evans-Smith,0  0,111  66,0  2,0  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Ngannou vs. Velasquez
win,Nik Lentz  Scott Holtzman,0  0,71  54,5  0,1  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Ngannou vs. Velasquez
win,Luke Sanders  Renan Barao,1  0,39  40,0  0,0  0,Bantamweight,KO/TKO  Punch,2,1:01,UFC Fight Night: Ngannou vs. Velasquez
win,Emily Whitmire  Aleksandra Albu,0  0,3  2,1  0,1  0,Women's Strawweight,SUB  Rear Naked Choke,1,1:01,UFC Fight Night: Ngannou vs. Velasquez
win,Israel Adesanya  Anderson Silva,0  0,65  31,0  0,0  0,Middleweight,U-DEC,3,5:00,UFC 234: Adesanya vs. Silva
win,Lando Vannata  Marcos Mariano,0  0,20  3,1  0,1  0,Lightweight,SUB  Kimura,1,4:55,UFC 234: Adesanya vs. Silva
win,Ricky Simon  Rani Yahya,2  0,54  47,4  0,0  0,Bantamweight,U-DEC,3,5:00,UFC 234: Adesanya vs. Silva
