,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,weight_class
347,Kazuhiro,Nakamura,Kaz,71,205.0,70,Orthodox,21.0,13.0,0.0,heavyweight
348,Keita,Nakamura,K-Taro,71,170.0,73,Southpaw,34.0,10.0,2.0,middleweight
349,Daisuke,Nakamura,,67,154.0,71,Orthodox,28.0,19.0,1.0,lightweight
350,Yusaku,Nakamura,,65,145.0,71,Unknown,14.0,4.0,1.0,lightweight
351,Rinya,Nakamura,Hybrid,67,135.0,68,Southpaw,7.0,0.0,0.0,featherweight
352,Jutaro,Nakao,,69,170.0,71,Southpaw,25.0,19.0,4.0,middleweight
353,Yoshihiro,Nakao,Kiss,72,220.0,71,Southpaw,9.0,3.0,0.0,heavyweight
354,Yui Chul,Nam,The Korean Bulldozer,69,145.0,71,Orthodox,18.0,8.0,1.0,lightweight
355,Tyson,Nam,,67,125.0,68,Orthodox,21.0,13.0,1.0,bantamweight
356,Rose,Namajunas,Thug,65,115.0,65,Orthodox,12.0,5.0,0.0,flyweight
357,Yasuhito,Namekawa,,69,205.0,71,Orthodox,25.0,16.0,4.0,heavyweight
358,Nad,Narimani,Smiler,68,145.0,70,Orthodox,12.0,4.0,0.0,lightweight
359,Roger,Narvaez,Silverback,75,185.0,71,Southpaw,8.0,3.0,0.0,light heavyweight
360,Fabio,Nascimento,Negao,70,185.0,71,Orthodox,11.0,6.0,0.0,light heavyweight
361,Allan,Nascimento,Puro Osso,68,125.0,69,Orthodox,20.0,6.0,0.0,bantamweight
362,Rodrigo,Nascimento,Ze Colmeia,74,246.0,80,Orthodox,9.0,1.0,0.0,heavyweight
363,Bobby,Nash,,72,170.0,74,Orthodox,8.0,4.0,0.0,middleweight
365,Jake,O'Brien,Irish,75,205.0,76,Orthodox,15.0,4.0,0.0,heavyweight
366,TJ,O'Brien,The Spider,74,155.0,71,Orthodox,20.0,8.0,0.0,welterweight
367,Sean,O'Connell,The Real OC,73,205.0,74,Orthodox,17.0,9.0,0.0,heavyweight
