,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,weight_class
524,Gilbert,Urbina,The RGV Bad Boy,75,185.0,75,Orthodox,6.0,3.0,0.0,light heavyweight
525,Nick,Urso,,66,125.0,66,Southpaw,10.0,3.0,0.0,bantamweight
526,Yasuhiro,Urushitani,,65,125.0,71,Southpaw,21.0,8.0,6.0,bantamweight
527,Sho Patrick,Usami,Savage,69,155.0,70,Orthodox,4.0,1.0,0.0,welterweight
528,Kamaru,Usman,The Nigerian Nightmare,72,170.0,76,Switch,20.0,3.0,0.0,middleweight
529,Mohammed,Usman,The Motor,74,239.0,79,Orthodox,9.0,2.0,0.0,heavyweight
530,Darren,Uyenoyama,BC,66,125.0,65,Orthodox,10.0,6.0,0.0,bantamweight
532,Richie,Vaculik,Vas,66,125.0,69,Orthodox,10.0,4.0,0.0,bantamweight
533,Egidijus,Valavicius,,72,200.0,71,Orthodox,29.0,12.0,0.0,light heavyweight
534,Genaro,Valdez,Rayadito,69,155.0,72,Orthodox,10.0,2.0,0.0,welterweight
535,Charlie,Valencia,,63,135.0,64,Orthodox,12.0,7.0,0.0,featherweight
536,Victor,Valenzuela,Joe Boxer,70,155.0,71,Unknown,13.0,6.0,2.0,welterweight
537,Ivan,Valenzuela,Bam Bam,74,185.0,77,Orthodox,8.0,2.0,0.0,light heavyweight
538,Timur,Valiev,Lucky,66,135.0,67,Orthodox,18.0,3.0,0.0,featherweight
539,Victor,Valimaki,The Matrix,72,205.0,71,Orthodox,18.0,10.0,0.0,heavyweight
540,Andrew,Valladerez,,70,135.0,71,Unknown,5.0,7.0,0.0,featherweight
541,Isaac,Vallie-Flagg,,68,155.0,70,Orthodox,16.0,7.0,1.0,welterweight
542,Joshua,Van,The Fearless,70,125.0,71,Unknown,7.0,1.0,0.0,bantamweight
543,Mike,van Arsdale,,74,205.0,71,Switch,8.0,5.0,0.0,heavyweight
544,Matt,Van Buren,Gutter,77,205.0,71,Unknown,7.0,6.0,0.0,heavyweight
545,Ron,van Clief,The Black Dragon,70,190.0,71,Orthodox,0.0,1.0,0.0,light heavyweight
546,Lloyd,Van Dams,,73,240.0,71,Southpaw,0.0,1.0,0.0,heavyweight
547,Cameron,VanCamp,Jumpman,74,155.0,74,Switch,15.0,7.0,1.0,welterweight
548,Chad,Vance,,72,185.0,71,Orthodox,7.0,5.0,0.0,light heavyweight
549,Jared,Vanderaa,,76,265.0,80,Orthodox,12.0,10.0,0.0,super heavyweight
550,Austin,Vanderford,AK-47,71,170.0,71,Orthodox,4.0,0.0,0.0,middleweight
551,Lando,Vannata,Groovy,69,155.0,71,Orthodox,12.0,6.0,2.0,welterweight
552,Paige,VanZant,12 Gauge,64,115.0,65,Orthodox,8.0,5.0,0.0,flyweight
553,Paul,Varelans,The Polar Bear,80,300.0,71,Orthodox,9.0,9.0,0.0,super heavyweight
554,Kazula,Vargas,,68,155.0,71,Southpaw,12.0,5.0,0.0,welterweight
555,Jamie,Varner,,68,155.0,71,Orthodox,21.0,11.0,1.0,welterweight
556,Guilherme,Vasconcelos,Bomba,72,185.0,71,Orthodox,9.0,4.0,0.0,light heavyweight
558,James,Wade,,70,205.0,71,Unknown,4.0,11.0,0.0,heavyweight
559,Chris,Wade,,70,155.0,70,Orthodox,12.0,3.0,0.0,welterweight
560,Neil,Wain,Old School,70,242.0,71,Orthodox,13.0,4.0,0.0,heavyweight
561,TJ,Waldburger,,71,170.0,75,Orthodox,16.0,9.0,0.0,middleweight
562,Chase,Waldon,,73,185.0,75,Orthodox,11.0,2.0,0.0,light heavyweight
563,Andre,Walker,,71,205.0,71,Southpaw,1.0,5.0,0.0,heavyweight
564,Herschel,Walker,,73,215.0,71,Orthodox,2.0,0.0,0.0,heavyweight
565,Donny,Walker,Eagle Eye,69,135.0,71,Unknown,15.0,10.0,0.0,featherweight
566,Johnny,Walker,,78,205.0,82,Orthodox,20.0,7.0,0.0,heavyweight
567,Brogan,Walker,The Bear,64,125.0,67,Switch,8.0,3.0,0.0,bantamweight
568,Ben,Wall,Manimal,70,155.0,71,Orthodox,8.0,7.0,1.0,welterweight
569,Crafton,Wallace,Blaze,72,185.0,71,Orthodox,18.0,6.0,1.0,light heavyweight
570,Rodney,Wallace,Shonuff the Master,69,205.0,72,Switch,26.0,15.0,1.0,heavyweight
