,fighter1,fighter2,fighter1_kd,fighter2_kd,fighter1_str,fighter2_str,fighter1_td,fighter2_td,fighter1_sub,fighter2_sub,weight_class,method,round,time,event,winner
2772,Jose Quinonez,Diego Rivas,0,0,59,27,1,1,0,2,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Pettis vs. Moreno,Jose Quinonez
2773,Joseph Morales,Robert Sanchez,1,0,12,2,0,1,1,0,Flyweight,SUB  Rear Naked Choke,1,3:56,UFC Fight Night: Pettis vs. Moreno,Joseph Morales
2774,Jordan Rinaldi,Alvaro Herrera Mendoza,0,0,6,2,0,0,1,1,Lightweight,SUB  Von Flue Choke,1,2:01,UFC Fight Night: Pettis vs. Moreno,Jordan Rinaldi
2775,Daniel Cormier,Jon Jones,0,1,58,95,0,0,0,0,Light Heavyweight,Overturned  Kick,3,3:01,UFC 214: Cormier vs. Jones 2,draw
2776,Tyron Woodley,Demian Maia,1,0,57,28,0,0,0,0,Welterweight,U-DEC,5,5:00,UFC 214: Cormier vs. Jones 2,Tyron Woodley
2777,Cristiane Justino,Tonya Evinger,1,0,74,32,0,1,0,0,Women's Featherweight,KO/TKO  Knees,3,1:56,UFC 214: Cormier vs. Jones 2,Cristiane Justino
2778,Robbie Lawler,Donald Cerrone,0,0,77,82,0,1,0,0,Welterweight,U-DEC,3,5:00,UFC 214: Cormier vs. Jones 2,Robbie Lawler
2779,Volkan Oezdemir,Jimi Manuwa,0,0,12,2,0,0,0,0,Light Heavyweight,KO/TKO  Punches,1,0:42,UFC 214: Cormier vs. Jones 2,Volkan Oezdemir
2780,Ricardo Lamas,Jason Knight,0,0,42,8,1,0,0,0,Featherweight,KO/TKO  Punches,1,4:34,UFC 214: Cormier vs. Jones 2,Ricardo Lamas
2781,Aljamain Sterling,Renan Barao,0,0,71,19,1,2,0,0,Catch Weight,U-DEC,3,5:00,UFC 214: Cormier vs. Jones 2,Aljamain Sterling
2782,Brian Ortega,Renato Moicano,0,0,65,109,0,2,1,0,Featherweight,SUB  Guillotine Choke,3,2:59,UFC 214: Cormier vs. Jones 2,Brian Ortega
2783,Calvin Kattar,Andre Fili,0,0,75,73,2,0,0,0,Featherweight,U-DEC,3,5:00,UFC 214: Cormier vs. Jones 2,Calvin Kattar
2784,Aleksandra Albu,Kailin Curran,0,0,82,86,5,1,0,0,Women's Strawweight,U-DEC,3,5:00,UFC 214: Cormier vs. Jones 2,Aleksandra Albu
2785,Jarred Brooks,Eric Shelton,0,0,27,31,5,1,1,1,Flyweight,S-DEC,3,5:00,UFC 214: Cormier vs. Jones 2,Jarred Brooks
2786,Drew Dober,Joshua Burkman,1,0,15,11,0,0,0,0,Lightweight,KO/TKO  Punch,1,3:04,UFC 214: Cormier vs. Jones 2,Drew Dober
2787,Chris Weidman,Kelvin Gastelum,0,1,36,26,7,0,2,0,Middleweight,SUB  Arm Triangle,3,3:45,UFC Fight Night: Weidman vs. Gastelum,Chris Weidman
2788,Darren Elkins,Dennis Bermudez,0,0,70,69,3,1,2,0,Featherweight,S-DEC,3,5:00,UFC Fight Night: Weidman vs. Gastelum,Darren Elkins
2789,Patrick Cummins,Gian Villante,0,0,86,72,1,0,0,0,Light Heavyweight,S-DEC,3,5:00,UFC Fight Night: Weidman vs. Gastelum,Patrick Cummins
2790,Jimmie Rivera,Thomas Almeida,2,0,70,72,2,0,0,0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Weidman vs. Gastelum,Jimmie Rivera
2791,Elizeu Zaleski dos Santos,Lyman Good,0,0,83,75,1,1,0,0,Welterweight,S-DEC,3,5:00,UFC Fight Night: Weidman vs. Gastelum,Elizeu Zaleski dos Santos
2792,Eryk Anders,Rafael Natal,1,0,23,14,1,0,0,0,Middleweight,KO/TKO  Punch,1,2:54,UFC Fight Night: Weidman vs. Gastelum,Eryk Anders
2793,Alex Oliveira,Ryan LaFlare,1,0,8,5,0,0,1,0,Welterweight,KO/TKO  Punch,2,1:50,UFC Fight Night: Weidman vs. Gastelum,Alex Oliveira
2794,Chase Sherman,Damian Grabowski,0,0,111,68,0,0,0,0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Weidman vs. Gastelum,Chase Sherman
2795,Jeremy Kennedy,Kyle Bochniak,0,0,41,23,8,0,0,0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Weidman vs. Gastelum,Jeremy Kennedy
2796,Marlon Vera,Brian Kelleher,0,0,5,8,0,1,2,0,Bantamweight,SUB  Armbar,1,2:18,UFC Fight Night: Weidman vs. Gastelum,Marlon Vera
2797,Junior Albini,Timothy Johnson,1,0,21,19,0,0,0,0,Heavyweight,KO/TKO  Punch,1,2:51,UFC Fight Night: Weidman vs. Gastelum,Junior Albini
2798,Shane Burgos,Godofredo Pepey,3,0,102,51,1,0,0,0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Weidman vs. Gastelum,Shane Burgos
2799,Chris Wade,Frankie Perez,0,0,23,22,3,3,2,0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Weidman vs. Gastelum,Chris Wade
2800,Santiago Ponzinibbio,Gunnar Nelson,1,0,7,5,0,0,0,0,Welterweight,KO/TKO  Punches,1,1:22,UFC Fight Night: Nelson vs. Ponzinibbio,Santiago Ponzinibbio
2801,Cynthia Calvillo,Joanne Wood,0,0,54,63,2,0,2,0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Nelson vs. Ponzinibbio,Cynthia Calvillo
2802,Paul Felder,Stevie Ray,1,0,23,5,0,0,0,0,Lightweight,KO/TKO  Elbow,1,3:57,UFC Fight Night: Nelson vs. Ponzinibbio,Paul Felder
2803,Jack Marshman,Ryan Janes,0,0,75,83,0,0,0,0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Nelson vs. Ponzinibbio,Jack Marshman
2804,Khalil Rountree Jr.,Paul Craig,1,0,15,17,0,0,0,0,Light Heavyweight,KO/TKO  Punch,1,4:56,UFC Fight Night: Nelson vs. Ponzinibbio,Khalil Rountree Jr.
2805,Justin Willis,James Mulheron,0,0,52,36,3,0,0,0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Nelson vs. Ponzinibbio,Justin Willis
2806,Danny Roberts,Bobby Nash,1,0,24,25,0,2,0,0,Welterweight,KO/TKO  Punch,2,3:59,UFC Fight Night: Nelson vs. Ponzinibbio,Danny Roberts
2807,Alexandre Pantoja,Neil Seery,1,0,119,82,1,0,1,0,Flyweight,SUB  Rear Naked Choke,3,2:31,UFC Fight Night: Nelson vs. Ponzinibbio,Alexandre Pantoja
2808,Galore Bofando,Charlie Ward,0,0,10,3,1,0,0,0,Welterweight,KO/TKO  Slam,1,2:10,UFC Fight Night: Nelson vs. Ponzinibbio,Galore Bofando
2809,Danny Henry,Daniel Teymur,1,0,93,69,1,0,2,0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Nelson vs. Ponzinibbio,Danny Henry
2810,Brett Johns,Albert Morales,0,0,56,28,3,0,1,0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Nelson vs. Ponzinibbio,Brett Johns
2811,Leslie Smith,Amanda Lemos,0,0,101,68,0,1,0,0,Women's Bantamweight,KO/TKO  Elbows,2,2:53,UFC Fight Night: Nelson vs. Ponzinibbio,Leslie Smith
2812,Robert Whittaker,Yoel Romero,0,0,74,48,0,4,0,0,Middleweight,U-DEC,5,5:00,UFC 213: Romero vs. Whittaker,Robert Whittaker
2813,Alistair Overeem,Fabricio Werdum,0,1,21,49,0,1,0,0,Heavyweight,M-DEC,3,5:00,UFC 213: Romero vs. Whittaker,Alistair Overeem
2814,Curtis Blaydes,Daniel Omielanczuk,0,0,72,51,0,0,0,0,Heavyweight,U-DEC,3,5:00,UFC 213: Romero vs. Whittaker,Curtis Blaydes
2815,Anthony Pettis,Jim Miller,0,0,80,48,1,1,0,0,Lightweight,U-DEC,3,5:00,UFC 213: Romero vs. Whittaker,Anthony Pettis
2816,Rob Font,Douglas Silva de Andrade,0,0,70,28,2,2,3,0,Bantamweight,SUB  Guillotine Choke,2,4:36,UFC 213: Romero vs. Whittaker,Rob Font
2817,Aleksei Oleinik,Travis Browne,1,1,53,35,3,1,2,0,Heavyweight,SUB  Rear Naked Choke,2,3:44,UFC 213: Romero vs. Whittaker,Aleksei Oleinik
2818,Chad Laprise,Brian Camozzi,1,0,76,47,1,0,0,0,Welterweight,KO/TKO  Punch,3,1:27,UFC 213: Romero vs. Whittaker,Chad Laprise
2819,Thiago Santos,Gerald Meerschaert,0,0,60,15,0,3,0,0,Middleweight,KO/TKO  Punches,2,2:04,UFC 213: Romero vs. Whittaker,Thiago Santos
2820,Belal Muhammad,Jordan Mein,0,0,45,36,4,1,0,1,Welterweight,U-DEC,3,5:00,UFC 213: Romero vs. Whittaker,Belal Muhammad
2821,Cody Stamann,Terrion Ware,0,0,94,60,8,0,0,0,Featherweight,U-DEC,3,5:00,UFC 213: Romero vs. Whittaker,Cody Stamann
2822,Trevin Giles,James Bochnovic,0,0,41,5,5,0,0,0,Light Heavyweight,KO/TKO  Punch,2,2:54,UFC 213: Romero vs. Whittaker,Trevin Giles
2823,Justin Gaethje,Michael Johnson,0,0,104,91,0,1,0,0,Lightweight,KO/TKO  Knees,2,4:48,The Ultimate Fighter: Redemption Finale,Justin Gaethje
2824,Jesse Taylor,Dhiego Lima,0,1,21,4,2,0,2,0,Welterweight,SUB  Rear Naked Choke,2,0:43,The Ultimate Fighter: Redemption Finale,Jesse Taylor
2825,Drakkar Klose,Marc Diakiese,0,0,39,34,3,2,0,0,Lightweight,S-DEC,3,5:00,The Ultimate Fighter: Redemption Finale,Drakkar Klose
2826,Jared Cannonier,Nick Roehrick,0,0,84,28,1,0,0,0,Light Heavyweight,KO/TKO  Elbows,3,2:08,The Ultimate Fighter: Redemption Finale,Jared Cannonier
2827,Brad Tavares,Elias Theodorou,0,0,31,34,1,3,0,0,Middleweight,U-DEC,3,5:00,The Ultimate Fighter: Redemption Finale,Brad Tavares
2828,Jordan Johnson,Marcel Fortuna,0,0,42,53,2,0,0,0,Light Heavyweight,U-DEC,3,5:00,The Ultimate Fighter: Redemption Finale,Jordan Johnson
2829,Angela Hill,Ashley Yoder,0,0,47,26,1,3,0,0,Women's Strawweight,U-DEC,3,5:00,The Ultimate Fighter: Redemption Finale,Angela Hill
2830,James Krause,Tom Gallicchio,0,0,106,53,0,1,0,0,Welterweight,U-DEC,3,5:00,The Ultimate Fighter: Redemption Finale,James Krause
2831,CB Dollaway,Ed Herman,0,0,54,24,6,1,1,3,Light Heavyweight,U-DEC,3,5:00,The Ultimate Fighter: Redemption Finale,CB Dollaway
2832,Tecia Torres,Juliana Lima,0,0,15,6,0,1,1,0,Women's Strawweight,SUB  Rear Naked Choke,2,0:53,The Ultimate Fighter: Redemption Finale,Tecia Torres
2833,Gray Maynard,Teruto Ishihara,0,0,16,8,11,0,2,0,Featherweight,U-DEC,3,5:00,The Ultimate Fighter: Redemption Finale,Gray Maynard
2834,Kevin Lee,Michael Chiesa,0,0,22,4,1,0,1,0,Lightweight,SUB  Rear Naked Choke,1,4:37,UFC Fight Night: Chiesa vs. Lee,Kevin Lee
2835,Tim Boetsch,Johny Hendricks,0,0,41,10,0,0,0,0,Middleweight,KO/TKO  Punches,2,0:46,UFC Fight Night: Chiesa vs. Lee,Tim Boetsch
2836,Felice Herrig,Justine Kish,0,0,47,40,2,0,1,0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Chiesa vs. Lee,Felice Herrig
2837,Dominick Reyes,Joachim Christensen,1,0,13,1,0,0,0,0,Light Heavyweight,KO/TKO  Punches,1,0:29,UFC Fight Night: Chiesa vs. Lee,Dominick Reyes
2838,Tim Means,Alex Garcia,0,0,64,32,0,0,0,0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Chiesa vs. Lee,Tim Means
2839,Dennis Siver,BJ Penn,0,1,103,57,0,0,0,0,Featherweight,M-DEC,3,5:00,UFC Fight Night: Chiesa vs. Lee,Dennis Siver
2840,Clay Guida,Erik Koch,0,0,38,13,2,0,0,0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Chiesa vs. Lee,Clay Guida
2841,Marvin Vettori,Vitor Miranda,0,0,69,51,3,0,0,0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Chiesa vs. Lee,Marvin Vettori
2842,Carla Esparza,Maryna Moroz,0,0,40,38,6,0,0,1,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Chiesa vs. Lee,Carla Esparza
2843,Darrell Horcher,Devin Powell,0,0,37,43,0,0,2,2,Lightweight,S-DEC,3,5:00,UFC Fight Night: Chiesa vs. Lee,Darrell Horcher
2844,Jared Gordon,Michel Quinones,0,0,67,16,4,0,0,0,Featherweight,KO/TKO  Punches,2,4:24,UFC Fight Night: Chiesa vs. Lee,Jared Gordon
2845,Anthony Rocco Martin,Johnny Case,0,0,82,92,1,0,1,0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Chiesa vs. Lee,Anthony Rocco Martin
2846,Jeremy Kimball,Josh Stansbury,1,0,17,4,0,0,0,0,Light Heavyweight,KO/TKO  Punches,1,1:21,UFC Fight Night: Chiesa vs. Lee,Jeremy Kimball
2847,Holly Holm,Bethe Correia,1,0,25,15,0,0,0,0,Women's Bantamweight,KO/TKO  Kick,3,1:09,UFC Fight Night: Holm vs. Correia,Holly Holm
2848,Marcin Tybura,Andrei Arlovski,0,0,51,28,2,0,0,0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Holm vs. Correia,Marcin Tybura
2849,Colby Covington,Dong Hyun Kim,0,0,47,19,8,2,0,0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Holm vs. Correia,Colby Covington
2850,Rafael Dos Anjos,Tarec Saffiedine,0,0,81,60,1,1,1,0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Holm vs. Correia,Rafael Dos Anjos
2851,Jon Tuck,Takanori Gomi,0,0,7,0,0,0,1,0,Lightweight,SUB  Rear Naked Choke,1,1:12,UFC Fight Night: Holm vs. Correia,Jon Tuck
2852,Walt Harris,Cyril Asker,1,0,21,2,0,0,0,0,Heavyweight,KO/TKO  Elbows,1,1:44,UFC Fight Night: Holm vs. Correia,Walt Harris
2853,Alex Caceres,Rolando Dy,1,0,51,20,0,1,1,0,Featherweight,KO/TKO,2,5:00,UFC Fight Night: Holm vs. Correia,Alex Caceres
2854,Yuta Sasaki,Justin Scoggins,0,1,21,37,2,1,1,0,Flyweight,SUB  Rear Naked Choke,2,3:19,UFC Fight Night: Holm vs. Correia,Yuta Sasaki
2855,Li Jingliang,Frank Camacho,0,0,94,35,2,1,0,0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Holm vs. Correia,Li Jingliang
2856,Russell Doane,Kwan Ho Kwak,1,0,17,10,0,1,0,0,Bantamweight,KO/TKO  Punches,1,4:09,UFC Fight Night: Holm vs. Correia,Russell Doane
2857,Naoki Inoue,Carls John De Tomas,0,0,62,30,0,2,5,0,Flyweight,U-DEC,3,5:00,UFC Fight Night: Holm vs. Correia,Naoki Inoue
2858,Lucie Pudilova,Ji Yeon Kim,0,0,53,60,0,0,2,0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Holm vs. Correia,Lucie Pudilova
2859,Mark Hunt,Derrick Lewis,0,0,59,51,0,0,0,0,Heavyweight,KO/TKO  Punches,4,3:51,UFC Fight Night: Lewis vs. Hunt,Mark Hunt
2860,Derek Brunson,Daniel Kelly,1,0,8,1,0,0,0,0,Middleweight,KO/TKO  Punch,1,1:16,UFC Fight Night: Lewis vs. Hunt,Derek Brunson
2861,Dan Hooker,Ross Pearson,1,0,69,38,0,0,0,0,Lightweight,KO/TKO  Knee,2,3:02,UFC Fight Night: Lewis vs. Hunt,Dan Hooker
2862,Ion Cutelaba,Henrique da Silva,1,0,15,1,0,0,0,0,Light Heavyweight,KO/TKO  Punch,1,0:22,UFC Fight Night: Lewis vs. Hunt,Ion Cutelaba
2863,Ben Nguyen,Tim Elliott,0,0,3,1,1,0,1,0,Flyweight,SUB  Rear Naked Choke,1,0:49,UFC Fight Night: Lewis vs. Hunt,Ben Nguyen
2864,Alexander Volkanovski,Mizuto Hirota,1,0,87,46,4,0,0,0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Lewis vs. Hunt,Alexander Volkanovski
2865,Vinc Pichel,Damien Brown,1,0,19,21,0,0,0,0,Lightweight,KO/TKO  Punch,1,3:37,UFC Fight Night: Lewis vs. Hunt,Vinc Pichel
2866,Luke Jumeau,Dominique Steele,0,0,40,44,0,1,0,0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Lewis vs. Hunt,Luke Jumeau
2867,John Moraga,Ashkan Mokhtarian,0,0,56,12,2,1,4,0,Flyweight,U-DEC,3,5:00,UFC Fight Night: Lewis vs. Hunt,John Moraga
2868,Zak Ottow,Kiichi Kunimoto,0,0,37,25,2,2,0,0,Welterweight,S-DEC,3,5:00,UFC Fight Night: Lewis vs. Hunt,Zak Ottow
2869,JJ Aldrich,Chan-Mi Jeon,0,0,98,92,0,0,0,0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Lewis vs. Hunt,JJ Aldrich
2870,Max Holloway,Jose Aldo,1,0,104,55,0,0,0,0,Featherweight,KO/TKO  Punches,3,4:13,UFC 212: Aldo vs. Holloway,Max Holloway
2871,Claudia Gadelha,Karolina Kowalkiewicz,0,0,8,9,1,0,1,0,Women's Strawweight,SUB  Rear Naked Choke,1,3:03,UFC 212: Aldo vs. Holloway,Claudia Gadelha
2872,Vitor Belfort,Nate Marquardt,0,0,37,57,0,1,0,0,Middleweight,U-DEC,3,5:00,UFC 212: Aldo vs. Holloway,Vitor Belfort
2873,Paulo Costa,Oluwale Bamgbose,0,0,43,33,0,2,0,0,Middleweight,KO/TKO  Punches,2,1:06,UFC 212: Aldo vs. Holloway,Paulo Costa
2874,Yancy Medeiros,Erick Silva,1,0,33,29,0,0,0,0,Welterweight,KO/TKO  Punch,2,2:01,UFC 212: Aldo vs. Holloway,Yancy Medeiros
2875,Raphael Assuncao,Marlon Moraes,0,0,43,44,0,0,0,0,Bantamweight,S-DEC,3,5:00,UFC 212: Aldo vs. Holloway,Raphael Assuncao
2876,Antonio Carlos Junior,Eric Spicely,0,0,12,17,1,1,2,0,Middleweight,SUB  Rear Naked Choke,2,3:49,UFC 212: Aldo vs. Holloway,Antonio Carlos Junior
2877,Matthew Lopez,Johnny Eduardo,0,0,43,16,1,0,0,1,Bantamweight,KO/TKO  Punches,1,2:57,UFC 212: Aldo vs. Holloway,Matthew Lopez
2878,Brian Kelleher,Iuri Alcantara,0,0,4,12,0,1,1,0,Bantamweight,SUB  Guillotine Choke,1,1:48,UFC 212: Aldo vs. Holloway,Brian Kelleher
2879,Viviane Pereira,Jamie Moyle,0,0,80,80,0,0,0,0,Women's Strawweight,U-DEC,3,5:00,UFC 212: Aldo vs. Holloway,Viviane Pereira
2880,Luan Chagas,Jim Wallhead,1,0,95,32,0,0,1,0,Welterweight,SUB  Rear Naked Choke,2,4:48,UFC 212: Aldo vs. Holloway,Luan Chagas
2881,Deiveson Figueiredo,Marco Beltran,1,0,17,16,2,0,4,0,Flyweight,KO/TKO,2,5:00,UFC 212: Aldo vs. Holloway,Deiveson Figueiredo
2882,Alexander Gustafsson,Glover Teixeira,2,0,97,42,1,1,0,0,Light Heavyweight,KO/TKO  Punches,5,1:07,UFC Fight Night: Gustafsson vs. Teixeira,Alexander Gustafsson
2883,Volkan Oezdemir,Misha Cirkunov,1,0,5,9,0,0,0,0,Light Heavyweight,KO/TKO  Punch,1,0:28,UFC Fight Night: Gustafsson vs. Teixeira,Volkan Oezdemir
2884,Peter Sobotta,Ben Saunders,3,0,46,19,0,0,0,0,Welterweight,KO/TKO  Knee,2,2:29,UFC Fight Night: Gustafsson vs. Teixeira,Peter Sobotta
2885,Omari Akhmedov,Abdul Razak Alhassan,0,0,52,43,6,0,0,0,Welterweight,S-DEC,3,5:00,UFC Fight Night: Gustafsson vs. Teixeira,Omari Akhmedov
2886,Nordine Taleb,Oliver Enkamp,0,0,57,34,2,1,0,0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Gustafsson vs. Teixeira,Nordine Taleb
2887,Jack Hermansson,Alex Nicholson,0,0,23,1,1,0,0,1,Middleweight,KO/TKO  Punches,1,2:00,UFC Fight Night: Gustafsson vs. Teixeira,Jack Hermansson
2888,Pedro Munhoz,Damian Stasiak,0,0,65,44,3,2,1,0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Gustafsson vs. Teixeira,Pedro Munhoz
2889,Trevor Smith,Chris Camozzi,1,0,39,10,4,0,0,1,Middleweight,U-DEC,3,5:00,UFC Fight Night: Gustafsson vs. Teixeira,Trevor Smith
2890,Joaquim Silva,Reza Madadi,0,0,40,26,0,5,1,0,Lightweight,S-DEC,3,5:00,UFC Fight Night: Gustafsson vs. Teixeira,Joaquim Silva
2891,Bojan Velickovic,Nicholas Musoke,1,0,53,49,1,1,0,0,Welterweight,KO/TKO  Punch,3,4:37,UFC Fight Night: Gustafsson vs. Teixeira,Bojan Velickovic
2892,Darren Till,Jessin Ayari,1,0,31,28,2,0,0,1,Welterweight,U-DEC,3,5:00,UFC Fight Night: Gustafsson vs. Teixeira,Darren Till
2893,Damir Hadzovic,Marcin Held,1,0,14,31,0,4,0,1,Lightweight,KO/TKO  Knee,3,0:07,UFC Fight Night: Gustafsson vs. Teixeira,Damir Hadzovic
2894,Stipe Miocic,Junior Dos Santos,1,0,26,12,0,0,0,0,Heavyweight,KO/TKO  Punch,1,2:22,UFC 211: Miocic vs. Dos Santos,Stipe Miocic
2895,Joanna Jedrzejczyk,Jessica Andrade,0,0,225,83,0,2,0,0,Women's Strawweight,U-DEC,5,5:00,UFC 211: Miocic vs. Dos Santos,Joanna Jedrzejczyk
2896,Demian Maia,Jorge Masvidal,0,0,23,39,4,0,0,0,Welterweight,S-DEC,3,5:00,UFC 211: Miocic vs. Dos Santos,Demian Maia
2897,Frankie Edgar,Yair Rodriguez,0,0,72,16,1,0,0,1,Featherweight,KO/TKO,2,5:00,UFC 211: Miocic vs. Dos Santos,Frankie Edgar
2898,David Branch,Krzysztof Jotko,0,0,39,28,2,1,0,0,Middleweight,S-DEC,3,5:00,UFC 211: Miocic vs. Dos Santos,David Branch
2899,Eddie Alvarez,Dustin Poirier,0,0,44,73,1,0,0,2,Lightweight,CNC,2,4:02,UFC 211: Miocic vs. Dos Santos,draw
2900,Jason Knight,Chas Skelly,1,0,59,29,2,1,3,0,Featherweight,KO/TKO  Punch,3,0:39,UFC 211: Miocic vs. Dos Santos,Jason Knight
2901,Chase Sherman,Rashad Coulter,1,0,103,36,0,0,0,0,Heavyweight,KO/TKO  Elbow,2,3:36,UFC 211: Miocic vs. Dos Santos,Chase Sherman
2902,James Vick,Marco Polo Reyes,1,0,20,16,0,0,0,0,Lightweight,KO/TKO  Punch,1,2:39,UFC 211: Miocic vs. Dos Santos,James Vick
2903,Cortney Casey,Jessica Aguilar,0,0,103,57,0,4,0,0,Women's Strawweight,U-DEC,3,5:00,UFC 211: Miocic vs. Dos Santos,Cortney Casey
2904,Enrique Barzola,Gabriel Benitez,0,0,46,51,9,0,1,0,Featherweight,U-DEC,3,5:00,UFC 211: Miocic vs. Dos Santos,Enrique Barzola
2905,Gadzhimurad Antigulov,Joachim Christensen,0,0,2,1,1,0,1,0,Light Heavyweight,SUB  Rear Naked Choke,1,2:21,UFC 211: Miocic vs. Dos Santos,Gadzhimurad Antigulov
2906,Cub Swanson,Artem Lobov,0,0,209,123,2,2,0,0,Featherweight,U-DEC,5,5:00,UFC Fight Night: Swanson vs. Lobov,Cub Swanson
2907,Al Iaquinta,Diego Sanchez,2,0,12,4,0,0,0,0,Lightweight,KO/TKO  Punch,1,1:38,UFC Fight Night: Swanson vs. Lobov,Al Iaquinta
2908,Ovince Saint Preux,Marcos Rogerio de Lima,0,0,21,17,1,0,1,0,Light Heavyweight,SUB  Von Flue Choke,2,2:11,UFC Fight Night: Swanson vs. Lobov,Ovince Saint Preux
2909,John Dodson,Eddie Wineland,0,0,48,21,0,0,0,0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Swanson vs. Lobov,John Dodson
2910,Stevie Ray,Joe Lauzon,0,0,109,46,0,5,1,1,Lightweight,M-DEC,3,5:00,UFC Fight Night: Swanson vs. Lobov,Stevie Ray
2911,Mike Perry,Jake Ellenberger,2,0,26,17,0,1,0,0,Welterweight,KO/TKO  Elbow,2,1:05,UFC Fight Night: Swanson vs. Lobov,Mike Perry
2912,Thales Leites,Sam Alvey,0,0,38,27,1,0,0,0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Swanson vs. Lobov,Thales Leites
2913,Brandon Moreno,Dustin Ortiz,1,0,24,16,0,4,2,0,Flyweight,SUB  Rear Naked Choke,2,4:06,UFC Fight Night: Swanson vs. Lobov,Brandon Moreno
2914,Scott Holtzman,Michael McBride,1,0,104,83,2,3,0,2,Lightweight,U-DEC,3,5:00,UFC Fight Night: Swanson vs. Lobov,Scott Holtzman
2915,Danielle Taylor,Jessica Penne,0,0,72,69,0,1,0,0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Swanson vs. Lobov,Danielle Taylor
2916,Alexis Davis,Cindy Dandois,0,0,51,47,0,5,2,0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Swanson vs. Lobov,Alexis Davis
2917,Bryan Barberena,Joe Proctor,1,0,28,8,0,0,0,0,Welterweight,KO/TKO  Punch,1,3:30,UFC Fight Night: Swanson vs. Lobov,Bryan Barberena
2918,Hector Sandoval,Matt Schnell,0,0,32,16,3,1,0,1,Flyweight,KO/TKO  Punch,1,4:24,UFC Fight Night: Swanson vs. Lobov,Hector Sandoval
2919,Demetrious Johnson,Wilson Reis,0,0,108,16,1,0,1,0,Flyweight,SUB  Armbar,3,4:49,UFC on FOX: Johnson vs. Reis,Demetrious Johnson
2920,Rose Namajunas,Michelle Waterson-Gomez,1,0,47,22,1,1,1,0,Women's Strawweight,SUB  Rear Naked Choke,2,2:47,UFC on FOX: Johnson vs. Reis,Rose Namajunas
2921,Robert Whittaker,Jacare Souza,1,0,55,9,0,1,0,0,Middleweight,KO/TKO  Kick,2,3:28,UFC on FOX: Johnson vs. Reis,Robert Whittaker
2922,Renato Moicano,Jeremy Stephens,0,0,70,56,2,0,0,0,Featherweight,S-DEC,3,5:00,UFC on FOX: Johnson vs. Reis,Renato Moicano
2923,Alexander Volkov,Roy Nelson,0,0,122,32,0,1,0,0,Heavyweight,U-DEC,3,5:00,UFC on FOX: Johnson vs. Reis,Alexander Volkov
2924,Tom Duquesnoy,Patrick Williams,2,0,36,37,0,2,0,0,Bantamweight,KO/TKO  Elbows,2,0:28,UFC on FOX: Johnson vs. Reis,Tom Duquesnoy
2925,Rashid Magomedov,Bobby Green,0,0,75,75,0,0,0,0,Lightweight,S-DEC,3,5:00,UFC on FOX: Johnson vs. Reis,Rashid Magomedov
2926,Tim Elliott,Louis Smolka,0,0,57,41,12,1,1,2,Flyweight,U-DEC,3,5:00,UFC on FOX: Johnson vs. Reis,Tim Elliott
2927,Aljamain Sterling,Augusto Mendes,0,1,83,30,2,0,0,0,Bantamweight,U-DEC,3,5:00,UFC on FOX: Johnson vs. Reis,Aljamain Sterling
2928,Devin Clark,Jake Collier,0,0,68,36,4,0,0,1,Light Heavyweight,U-DEC,3,5:00,UFC on FOX: Johnson vs. Reis,Devin Clark
2929,Anthony Smith,Andrew Sanchez,1,0,49,63,0,4,0,0,Middleweight,KO/TKO  Kick,3,3:52,UFC on FOX: Johnson vs. Reis,Anthony Smith
